id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4838755284812253,MggcwkbSZ,6553655012,你才是我的梦啊,#为爱冲锋的勇士#还好我当时就觉得他有病，果然有那个大病,,,,为爱冲锋的勇士,0,1,5,2022-11-22 23:57,小米10 Pro,,,
4838755213510181,MggcpeJ9P,2901489573,想睡个懒觉Zzz,#为爱冲锋的勇士#真🐔8恶心现在在这澄清卖货卖爽了过了七天无理由了？明明女主有快手账号为什么不第二天直接两个人合体在快手发个置顶解释？故意发酵这么久是真的恶心,,,,为爱冲锋的勇士,1,1,6,2022-11-22 23:56,iPhone客户端,,,
4838755011142462,Mggc54NcO,7143829754,棺材盖炒个菜,完了本来只是在郫县看到为爱冲锋的勇士后续想上微博瞅瞅有没有完整点的搬运，结果顺着金白开看了一堆向新手解释足球发生了什么的类比，不得不说讲得是很幽默都有点想看球了。,,,,,0,0,0,2022-11-22 23:55,iPad,,,
4838754637847790,MggbtwVzg,7488588386,唯我独星辰,#妈妈产后抑郁离世孩子才7个月#生孩子的女人都是为爱冲锋的勇士#产后抑郁#,,,,"妈妈产后抑郁离世孩子才7个月,产后抑郁",0,3,3,2022-11-22 23:54,星辰系Android,['https://wx2.sinaimg.cn/large/b10c1bc2ly1h7z4kny13tj208c08cjrd.jpg'],,
4838754449363482,MggbaDhRU,7247722078,Vahvuus,今年还有没有机会做一次为爱冲锋的勇士,,,,,0,6,2,2022-11-22 23:53,Android,,,
4838754232045847,MggaP8Adx,7071460175,第三季度呀,论我到底的多听风就是雨，前段时间，东北一个男的烧人不成把自己给烧没了，在微博说是黑恶势力咋咋的，说警察不作为，我信了，后来，官方声明是家人教唆，在死之前还在撒谎。我告诉自己不能偏听偏信，这几天那个所谓的为爱冲锋的勇士，后来直播卖货说一切都是演戏，原来是为了流量，原来只要想谁都能做演员，太讽刺了，爱什么情，好了，我要进入一个巴掌拍不响的恶阶段了。当然那些所谓的知情人更恶心，打着说明事实的情况达到目的，若是有一天再次发生这种事，信还是不信，造谣成本太低果然是。L第三季度呀的微博视频,,,,,0,0,0,2022-11-22 23:52,微博视频号,,"http://f.video.weibocdn.com/o0/IeIES9Ialx080ZsUE81a010412009J2C0E010.mp4?label=mp4_720p&template=1080x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1669342487&ssig=WuUThnm8OT&KID=unistore,video",
4838753908821605,MggaiB0TX,5898681016,送杨郎君入京觐省,#为爱冲锋的勇士#所以他这算是进学校殴打学生吧……封校对大学生唯一好处是不是不会被外来人员打一顿。,,,,为爱冲锋的勇士,0,4,10,2022-11-22 23:51,vivo S7e 5G,,,
4838753804224669,Mgga8hJ1P,6870439876,鲨人狂魔朱大头,#为爱冲锋的勇士#笑死我了这群沙壁男的脸疼不,,,,为爱冲锋的勇士,0,0,1,2022-11-22 23:51,iPhone客户端,,,
4838752873355127,Mgg8De4OX,6335397541,Cheakiham,#为爱冲锋的勇士#哈哈哈哈哈哈哈哈,,,,为爱冲锋的勇士,0,1,2,2022-11-22 23:47,iPhone客户端,,,
4838752821711952,Mgg8y7bm8,7561745963,牛奶杯倒酒,为爱冲锋的勇士是假的心疼男人倒霉一辈子是真的,,,,,0,0,0,2022-11-22 23:47,iPhone客户端,,,
4838393542874325,Mg6N4c3K5,5332235551,小雨会吃开心饭长大,公主是为爱冲锋的勇士,,,,,0,0,0,2022-11-21 23:59,iPhone客户端,,,
4838390270790252,Mg6HN3jA0,6078720961,金牌香蜜薯-,深夜回放公主真的好勇敢用爱融化坚冰又很清醒很坚定就算被现实沉重一击也没有沉沦停滞不前还一路成长到可以独当一面做李峋的底气不管是大学还是三年后都是为爱冲锋的勇士啊我要跟阿瑟抢小猪猪了,,,,,0,1,3,2022-11-21 23:46,托尼老婆的iPhone 11,,,
4838389575322781,Mg6GFmkHj,7352933175,亻zhi磊,可以记录的点滴都要保存的好好的#为爱冲锋的勇士#,,呼伦贝尔,,为爱冲锋的勇士,0,0,1,2022-11-21 23:43,iPhone客户端,"['https://wx3.sinaimg.cn/large/0081C9Only1h8d6gfooglj30ws0u0n40.jpg', 'https://wx1.sinaimg.cn/large/0081C9Only1h8d6gg4k54j30u0140q8r.jpg', 'https://wx4.sinaimg.cn/large/0081C9Only1h8d6gf8svvj30u00u0q7d.jpg', 'https://wx3.sinaimg.cn/large/0081C9Only1h8d6ggoqkgj30u00u0ahy.jpg', 'https://wx2.sinaimg.cn/large/0081C9Only1h8d6gh5slyj30u00u0n64.jpg', 'https://wx3.sinaimg.cn/large/0081C9Only1h8d6ghl6l6j30u00u0ae2.jpg']",,
4838388097619993,Mg6EhvYj7,5693206178,射手座新时代,我发布了：#为爱冲锋的勇士##快手#@快手L人力资源（强哥）的快手视频,,,快手,"为爱冲锋的勇士 ,快手",0,0,0,2022-11-21 23:37,快手,,http://www.kuaishou.com/rest/kd/partner/weibo/linkcard/video?p=3xmke4dsesssg89&a=3x7aufudh6mubf6&f=3x7aufudh6mubf6&kpn=KUAISHOU&subBiz=BROWSE_SLIDE_PHOTO&shareChannel=weibo&shareMethod=card&shareObjectId=5208413055141607047&shareResourceType=PHOTO_SELF&shareToken=X3rDSjKQQ7UV1k3,
4838387141320605,Mg6CK5xy5,6259873910,刘诗宇妹妹_,#为爱冲锋的勇士#,,,,为爱冲锋的勇士,0,0,3,2022-11-21 23:34,iPhone客户端,['https://wx1.sinaimg.cn/large/006PDNaely1h8d66yzyb3j31o0280npd.jpg'],,
4838386882584110,Mg6CkaQfc,7402929590,江辰希YOYO,王圣锋做你自己吧，为爱冲锋的勇士，你是自由的，乖乖，我们永远尊重且支持你的所有决定。,,,,,0,0,12,2022-11-21 23:33,王圣锋超话,,,
4838385682484531,Mg6Aoaql5,6554995263,岁岁年年常欢,好了，该放下了。稀里糊涂开始稀里糊涂结束。为爱冲锋的勇士，下一次，别那么真诚。,,,,,0,1,0,2022-11-21 23:28,OPPO Reno8 5G,,,
4838385338293081,Mg6zPyNpn,5937007400,榴莲味的海苔碎_,公主真的是为爱冲锋的勇士泪目,,,,,0,0,0,2022-11-21 23:27,iPhone客户端,,,
