id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4839470660584726,MgyOm2s74,6012324646,噼哩啪啦啦啦猪,山东服装职业学院这姐实惨，说的句句在理，不知道怎么被喷几百楼的，默哀。#为爱冲锋的勇士#,,,,为爱冲锋的勇士,0,0,13,2022-11-24 23:19,山东服装职业学院超话,"['https://wx2.sinaimg.cn/large/006yT6ialy1h8gmm3r97vj30u01qgwnt.jpg', 'https://wx4.sinaimg.cn/large/006yT6ialy1h8gmm4tst1j30n01dsnb0.jpg']",,
4839464234650936,MgyDZjvV6,6807447484,蠱画貓,#山东服装职业学院#男宝真是无成本发癫,,,,山东服装职业学院,0,0,0,2022-11-24 22:54,真我GT Neo3,,,
4839437215470877,MgxWpmXdX,7796467148,美丽无声199604,山东服装职业学院,,,,,0,0,0,2022-11-24 21:06,山东服装职业学院超话,"['https://wx1.sinaimg.cn/large/008vDbg8ly1h8gisp5vusj30ku0qx76q.jpg', 'https://wx2.sinaimg.cn/large/008vDbg8ly1h8gisokcnyj30ku0f1gn9.jpg']",,
4839421515927165,Mgxx5oRVr,6530437873,红夫人太短,山东服装职业学院🤡都是网友,,,,,0,0,0,2022-11-24 20:04,山东服装职业学院超话,,,
4839412795704386,Mgxj1nVYe,7298582857,尧家猫南北,#山东服装职业学院##为爱冲锋的勇士#传谣的和骂人的起码应该给保安和那五个同学道歉吧,,,,"山东服装职业学院,为爱冲锋的勇士",0,0,4,2022-11-24 19:29,荣耀20,,,
4839410971187321,Mgxg54YSl,7210176708,若离45965,#山东服装职业学院超话#即使这件事不是真的，也让人看清了这个学校的某些🐶的三观，还在这叫,,,,山东服装职业学院超话,0,0,1,2022-11-24 19:22,Redmi K50,,,
4839402917862280,Mgx35wZkY,3969584819,尼尔的小尾巴L,山东服装职业学院我挺好奇一件事情，一开始刷抖音的时候说是山服有个女英雄给陈发了消息说，王出g了，之后就开始出现了1vs5的谣言🤔,,,,,0,0,0,2022-11-24 18:50,山东服装职业学院超话,,,
4839399730975556,MgwXX45MM,7615607708,碧云扶影下湘南,#为爱冲锋的勇士##山东服装职业学院#被骗了吧，事情刚出来就说别轻易站队，我们只是吃瓜群众，全部人都在骂我，刷了几千条评论，现在呢？哑巴了，现在别人都直播带货去了，你怎么说？继续敬告网友：永远年轻，永远热血，永远热泪盈眶，永远被当枪使，永远被带节奏，永远不长记性。,,,,"为爱冲锋的勇士,山东服装职业学院",0,3,19,2022-11-24 18:37,iPhone 11,"['https://wx2.sinaimg.cn/large/008jojsogy1h8gee6f4w6j30so0fwjtp.jpg', 'https://wx3.sinaimg.cn/large/008jojsogy1h8gee6y7ikj30so0g3wgm.jpg', 'https://wx3.sinaimg.cn/large/008jojsogy1h8gee7en7ij30so0f076g.jpg', 'https://wx3.sinaimg.cn/large/008jojsogy1h8gee7s2ckj30so0frtax.jpg', 'https://wx3.sinaimg.cn/large/008jojsogy1h8gee88yvpj30so0fv76d.jpg', 'https://wx4.sinaimg.cn/large/008jojsogy1h8gee8s9lnj30u01pv11w.jpg', 'https://wx1.sinaimg.cn/large/008jojsogy1h8gee9q1qmj30qo1g3n3i.jpg', 'https://wx1.sinaimg.cn/large/008jojsogy1h8geea4o7qj30nh1aqjxx.jpg', 'https://wx3.sinaimg.cn/large/008jojsogy1h8gehe9f3aj30mz0hvq57.jpg']",,
4839396455222209,MgwSFlUxb,6616628050,Sharkkl,山东服装职业学院前几天大骂学校的司马崽怎么不出来丢人现眼了听风就是雨长点记性吧,,,,,0,0,1,2022-11-24 18:24,山东服装职业学院超话,,,
4839382744301651,Mgwwyi33t,3969584819,尼尔的小尾巴L,山东服装职业学院hhhc，看了帖子都快笑死了，我记得那时候我发了一个帖子是说女主会不会保研，当初贴吧分为三个帮派，支持女方，捍卫男方，搞男女对立！结果今天听说有反转，翻了翻帖子，当初不管捍卫男方还是支持女方的，大部分应该都删了帖子然后又从那里装预言家又说自己一开始就说会有反转，后来才有人说女主拿着男主账号搞宇宙的尽头直播，那么一开始出现闹剧时预言家哪里来的？！,,,,,0,0,0,2022-11-24 17:30,山东服装职业学院超话,['https://wx4.sinaimg.cn/large/ec9b0eb3ly1h8gceldvbxj2058034746.jpg'],,
4839470660584726,MgyOm2s74,6012324646,噼哩啪啦啦啦猪,山东服装职业学院这姐实惨，说的句句在理，不知道怎么被喷几百楼的，默哀。#为爱冲锋的勇士#,,,,为爱冲锋的勇士,0,0,13,2022-11-24 23:19,山东服装职业学院超话,"['https://wx2.sinaimg.cn/large/006yT6ialy1h8gmm3r97vj30u01qgwnt.jpg', 'https://wx4.sinaimg.cn/large/006yT6ialy1h8gmm4tst1j30n01dsnb0.jpg']",,
4839464234650936,MgyDZjvV6,6807447484,蠱画貓,#山东服装职业学院#男宝真是无成本发癫,,,,山东服装职业学院,0,0,0,2022-11-24 22:54,真我GT Neo3,,,
4839437215470877,MgxWpmXdX,7796467148,美丽无声199604,山东服装职业学院,,,,,0,0,0,2022-11-24 21:06,山东服装职业学院超话,"['https://wx1.sinaimg.cn/large/008vDbg8ly1h8gisp5vusj30ku0qx76q.jpg', 'https://wx2.sinaimg.cn/large/008vDbg8ly1h8gisokcnyj30ku0f1gn9.jpg']",,
4839421515927165,Mgxx5oRVr,6530437873,红夫人太短,山东服装职业学院🤡都是网友,,,,,0,0,0,2022-11-24 20:04,山东服装职业学院超话,,,
4839412795704386,Mgxj1nVYe,7298582857,尧家猫南北,#山东服装职业学院##为爱冲锋的勇士#传谣的和骂人的起码应该给保安和那五个同学道歉吧,,,,"山东服装职业学院,为爱冲锋的勇士",0,0,4,2022-11-24 19:29,荣耀20,,,
4839410971187321,Mgxg54YSl,7210176708,若离45965,#山东服装职业学院超话#即使这件事不是真的，也让人看清了这个学校的某些🐶的三观，还在这叫,,,,山东服装职业学院超话,0,0,1,2022-11-24 19:22,Redmi K50,,,
